Profiling file: onnxruntime_profile__2026-06-02_07-28-15_187.json
FPS (preprocess + inference): 74.25695478355941
Name                 Type          Forward_MACs  FPercent        Memory  MPercent        Params  PPercent    InShape      OutShape
node_Conv_1178       Conv               526,336  0.25%          534,528  1.13%          131,584  1.26%       1x256x2x2    1x512x2x2
node_Conv_1170       Conv             1,050,624  0.50%        1,058,816  2.24%          262,656  2.51%       1x512x2x2    1x512x2x2
node_MatMul_783      MatMul               2,048  0.00%              256  0.00%                0  0.00%       1x4x4x32     1x4x4x4
Total                _              209,647,093  100%        47,270,404  100%        10,444,248  100%        _            _

HASIL PER KELAS
------------------------------------------------------------------------------------------
Amphidinium_sp                      Benar=1   Salah=0   Akurasi=100.00%
Asterionellopsis                    Benar=0   Salah=1   Akurasi=  0.00%
Cerataulina                         Benar=1   Salah=0   Akurasi=100.00%
Ceratium                            Benar=0   Salah=1   Akurasi=  0.00%
Chaetoceros                         Benar=1   Salah=0   Akurasi=100.00%
Chaetoceros_didymus                 Benar=1   Salah=0   Akurasi=100.00%
Chaetoceros_didymus_flagellate      Benar=1   Salah=0   Akurasi=100.00%
Chaetoceros_flagellate              Benar=0   Salah=1   Akurasi=  0.00%
Chaetoceros_other                   Benar=0   Salah=1   Akurasi=  0.00%
Chaetoceros_pennate                 Benar=0   Salah=1   Akurasi=  0.00%
Chrysochromulina                    Benar=1   Salah=0   Akurasi=100.00%
Ciliate_mix                         Benar=1   Salah=0   Akurasi=100.00%
Corethron                           Benar=1   Salah=0   Akurasi=100.00%
Coscinodiscus                       Benar=1   Salah=0   Akurasi=100.00%
Cylindrotheca                       Benar=1   Salah=0   Akurasi=100.00%
DactFragCerataul                    Benar=0   Salah=1   Akurasi=  0.00%
Dactyliosolen                       Benar=0   Salah=1   Akurasi=  0.00%
Delphineis                          Benar=1   Salah=0   Akurasi=100.00%
Dictyocha                           Benar=0   Salah=1   Akurasi=  0.00%
Dinobryon                           Benar=1   Salah=0   Akurasi=100.00%
Dinophysis                          Benar=1   Salah=0   Akurasi=100.00%
Ditylum                             Benar=0   Salah=1   Akurasi=  0.00%
Ditylum_parasite                    Benar=0   Salah=1   Akurasi=  0.00%
Emiliania_huxleyi                   Benar=1   Salah=0   Akurasi=100.00%
