FPS (preprocess + inference): 167.16496202780746
Name                             Type                     Forward_MACs  FPercent        Memory  MPercent       Params  PPercent    InShape      OutShape
node_Sigmoid_498                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Conv_2273                   Conv                            8,448  0.01%            3,136  0.02%             528  0.02%       1x32x4x4     1x16x4x4
node_Mul_249                     Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Add_1420                    Add                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Conv_2309                   Conv                          147,968  0.23%           39,040  0.30%           9,248  0.38%       1x32x4x4     1x32x4x4
node_Mul_1548                    Mul                             3,072  0.00%           12,288  0.09%               0  0.00%       1x48x8x8     1x48x8x8
node_Sigmoid_1608                Sigmoid                        16,384  0.03%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Conv_2322                   Conv                          590,848  0.92%          151,808  1.17%          36,928  1.51%       1x64x4x4     1x64x4x4
node_Add_1828                    Add                               256  0.00%            1,024  0.01%               0  0.00%       1x64x2x2     1x64x2x2
node_Mul_1945                    Mul                             6,144  0.01%           24,960  0.19%              96  0.00%       1x96x8x8     1x96x8x8
node_Conv_2228                   Conv                           33,792  0.05%            6,208  0.05%             528  0.02%       1x32x8x8     1x16x8x8
node_Conv_2275                   Conv                            4,352  0.01%            2,112  0.02%             272  0.01%       1x16x4x4     1x16x4x4
node_Conv_2292                   Conv                            1,088  0.00%            1,344  0.01%             272  0.01%       1x16x2x2     1x16x2x2
node_MaxPool_1596                MaxPool                         3,072  0.00%            3,072  0.02%               0  0.00%       1x48x8x8     1x48x4x4
node_Conv_2248                   Conv                            8,448  0.01%            3,136  0.02%             528  0.02%       1x32x4x4     1x16x4x4
node_Sigmoid_2094                Sigmoid                        16,384  0.03%            2,048  0.02%               0  0.00%       1x128x2x2    1x128x2x2
node_Sigmoid_397                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Mul_550                     Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Conv_1080                   Conv                            1,056  0.00%            4,352  0.03%           1,056  0.04%       1x32x1x1     1x32x1x1
node_Mul_1869                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x128x2x2    1x128x2x2
node_Conv_2312                   Conv                        1,330,176  2.07%           95,424  0.73%          20,784  0.85%       1x48x8x8     1x48x8x8
node_Conv_2240                   Conv                           33,792  0.05%            6,208  0.05%             528  0.02%       1x32x8x8     1x16x8x8
node_Conv_2262                   Conv                            4,352  0.01%            2,112  0.02%             272  0.01%       1x16x4x4     1x16x4x4
node_Sigmoid_1047                Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Sigmoid_798                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Sigmoid_1060                Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2331                   Conv                          590,336  0.92%          592,384  4.55%         147,584  6.04%       1x128x2x2    1x128x2x2
node_Mul_160                     Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Conv_1897                   Conv                        5,314,560  8.29%          356,736  2.74%          83,040  3.40%       1x96x8x8     1x96x8x8
node_Conv_569                    Conv                            1,056  0.00%            4,352  0.03%           1,056  0.04%       1x32x1x1     1x32x1x1
node_Conv_2235                   Conv                           10,240  0.02%            4,736  0.04%             160  0.01%       1x16x8x8     1x16x8x8
node_Sigmoid_811                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Sigmoid_826                 Sigmoid                        16,384  0.03%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Sigmoid_1594                Sigmoid                        16,384  0.03%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Conv_2238                   Conv                           10,240  0.02%            4,736  0.04%             160  0.01%       1x16x8x8     1x16x8x8
node_Conv_2214                   Conv                          135,168  0.21%           18,496  0.14%             528  0.02%       1x32x16x16   1x16x16x16
node_Mul_512                     Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_InstanceNormalization_1910  InstanceNormalization          43,008  0.07%           24,768  0.19%              48  0.00%       1x24x256     1x24x256
node_Conv_2313                   Conv                        1,330,176  2.07%           95,424  0.73%          20,784  0.85%       1x48x8x8     1x48x8x8
node_Mul_2121                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x128x2x2    1x128x2x2
node_Conv_2327                   Conv                          590,848  0.92%          151,808  1.17%          36,928  1.51%       1x64x4x4     1x64x4x4
node_Conv_2278                   Conv                            4,352  0.01%            2,112  0.02%             272  0.01%       1x16x4x4     1x16x4x4
node_Sigmoid_159                 Sigmoid                       131,072  0.20%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Add_1508                    Add                             3,072  0.00%           12,288  0.09%               0  0.00%       1x48x8x8     1x48x8x8
node_Conv_2230                   Conv                           17,408  0.03%            5,184  0.04%             272  0.01%       1x16x8x8     1x16x8x8
node_Conv_2225                   Conv                           33,792  0.05%            6,208  0.05%             528  0.02%       1x32x8x8     1x16x8x8
node_Conv_2336                   Conv                          147,712  0.23%          148,736  1.14%          36,928  1.51%       1x64x2x2     1x64x2x2
node_Conv_2297                   Conv                              640  0.00%              896  0.01%             160  0.01%       1x16x2x2     1x16x2x2
node_Conv_831                    Conv                            1,056  0.00%            4,352  0.03%           1,056  0.04%       1x32x1x1     1x32x1x1
node_Conv_2282                   Conv                          115,200  0.18%           30,848  0.24%           7,200  0.29%       1x224x4x4    1x32x4x4
node_Conv_2239                   Conv                           17,408  0.03%            5,184  0.04%             272  0.01%       1x16x8x8     1x16x8x8
node_Mul_302                     Mul                             8,192  0.01%           32,768  0.25%               0  0.00%       1x32x16x16   1x32x16x16
node_InstanceNormalization_1882  InstanceNormalization          43,008  0.07%           24,960  0.19%              96  0.00%       1x48x128     1x48x128
node_Conv_2217                   Conv                          135,168  0.21%           18,496  0.14%             528  0.02%       1x32x16x16   1x16x16x16
node_Sigmoid_346                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Sigmoid_971                 Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Mul_97                      Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Conv_2244                   Conv                            5,120  0.01%            3,328  0.03%             320  0.01%       1x32x8x8     1x32x4x4
node_Mul_122                     Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Conv_2268                   Conv                            2,560  0.00%            1,664  0.01%             160  0.01%       1x16x4x4     1x16x4x4
node_Mul_858                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2236                   Conv                           17,408  0.03%            5,184  0.04%             272  0.01%       1x16x8x8     1x16x8x8
node_Mul_799                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2207                   Conv                           69,632  0.11%           17,472  0.13%             272  0.01%       1x16x16x16   1x16x16x16
node_Sigmoid_1360                Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
node_Conv_2328                   Conv                          657,408  1.02%          172,544  1.33%          41,088  1.68%       1x320x4x4    1x128x4x4
node_Mul_1771                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x128x2x2    1x128x2x2
node_Mul_723                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Conv_2226                   Conv                           10,240  0.02%            4,736  0.04%             160  0.01%       1x16x8x8     1x16x8x8
node_Sigmoid_1271                Sigmoid                         2,048  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Sigmoid_29                  Sigmoid                       524,288  0.82%           65,536  0.50%               0  0.00%       1x16x32x32   1x16x32x32
node_Conv_2266                   Conv                            4,352  0.01%            2,112  0.02%             272  0.01%       1x16x4x4     1x16x4x4
node_Sigmoid_1722                Sigmoid                        65,536  0.10%            8,192  0.06%               0  0.00%       1x128x4x4    1x128x4x4
node_Split_2144                  Split                               0  0.00%            8,192  0.06%               0  0.00%       1x128x4x4    1x64x4x4
node_Mul_1494                    Mul                             3,072  0.00%           12,288  0.09%               0  0.00%       1x48x8x8     1x48x8x8
node_Mul_1323                    Mul                                64  0.00%              256  0.00%               0  0.00%       1x16x2x2     1x16x2x2
node_Sigmoid_1432                Sigmoid                        16,384  0.03%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Sigmoid_197                 Sigmoid                       131,072  0.20%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Sigmoid_460                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Mul_1379                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Conv_1984                   Conv                        2,361,344  3.68%          598,528  4.60%         147,584  6.04%       1x128x4x4    1x128x4x4
node_Conv_2223                   Conv                        1,843,200  2.87%           61,568  0.47%           7,200  0.29%       1x224x16x16  1x32x16x16
node_Conv_2231                   Conv                           33,792  0.05%            6,208  0.05%             528  0.02%       1x32x8x8     1x16x8x8
node_Conv_2329                   Conv                          110,784  0.17%          111,552  0.86%          27,696  1.13%       1x64x4x4     1x48x2x2
node_Mul_1668                    Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
node_Sigmoid_435                 Sigmoid                        32,768  0.05%            4,096  0.03%               0  0.00%       1x16x8x8     1x16x8x8
node_Mul_236                     Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Mul_135                     Mul                             4,096  0.01%           16,384  0.13%               0  0.00%       1x16x16x16   1x16x16x16
node_Conv_2222                   Conv                           69,632  0.11%           17,472  0.13%             272  0.01%       1x16x16x16   1x16x16x16
node_Conv_2227                   Conv                           17,408  0.03%            5,184  0.04%             272  0.01%       1x16x8x8     1x16x8x8
node_Mul_1708                    Mul                             1,024  0.00%            4,096  0.03%               0  0.00%       1x64x4x4     1x64x4x4
node_Conv_2288                   Conv                              640  0.00%              896  0.01%             160  0.01%       1x16x2x2     1x16x2x2
node_Mul_1076                    Mul                               512  0.00%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_InstanceNormalization_1936  InstanceNormalization          43,008  0.07%           24,584  0.19%               2  0.00%       1x1x6144     1x1x6144
node_Mul_323                     Mul                             2,048  0.00%            8,192  0.06%               0  0.00%       1x32x8x8     1x32x8x8
node_Conv_2281                   Conv                            4,352  0.01%            2,112  0.02%             272  0.01%       1x16x4x4     1x16x4x4
node_Mul_1919                    Mul                             6,144  0.01%           24,960  0.19%              96  0.00%       1x96x8x8     1x96x8x8
node_Mul_1010                    Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Mul_909                     Mul                               256  0.00%            1,024  0.01%               0  0.00%       1x16x4x4     1x16x4x4
node_Sigmoid_1075                Sigmoid                        16,384  0.03%            2,048  0.02%               0  0.00%       1x32x4x4     1x32x4x4
node_Sigmoid_1786                Sigmoid                         8,192  0.01%            1,024  0.01%               0  0.00%       1x64x2x2     1x64x2x2
